ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Year,Month,Quarter,Month_Name,Quarter_Name,Year_Month,Region,Revenue,Estimated_Cost,Estimated_Profit,Estimated_Profit_Margin,SALES_CATEGORY
10285,36,100.0,6,4099.68,2004-08-27,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,N/A,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,2004,8,3,August,Q3,2004-08,NA,4099.68,2052.0,2047.6800000000003,49.9473129610116,Medium
10299,23,100.0,9,2597.39,2004-09-30,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,N/A,Helsinki,N/A,21240,Finland,EMEA,Karttunen,Matti,Small,2004,9,3,September,Q3,2004-09,EMEA,2597.39,1311.0,1286.3899999999999,49.52625520233773,Low
10309,41,100.0,5,4394.38,2004-10-15,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,N/A,Stavern,N/A,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2004,10,4,October,Q4,2004-10,EMEA,4394.38,2337.0,2057.38,46.81843627542452,Medium
10318,46,94.74,1,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,N/A,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,2004,11,4,November,Q4,2004-11,NA,4358.04,2622.0,1736.04,39.83533882203926,Medium
10329,42,100.0,1,4396.14,2004-11-15,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,2004,11,4,November,Q4,2004-11,NA,4396.14,2394.0,2002.1400000000003,45.54313556893093,Medium
10341,41,100.0,9,7737.93,2004-11-24,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,N/A,Salzburg,N/A,5020,Austria,EMEA,Pipps,Georg,Large,2004,11,4,November,Q4,2004-11,EMEA,7737.93,2337.0,5400.93,69.79812430456207,High
10361,20,72.55,13,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2004,12,4,December,Q4,2004-12,APAC,1451.0,1140.0,311.0,21.433494141971053,Low
10375,21,34.91,12,733.11,2005-02-03,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",N/A,Nantes,N/A,44000,France,EMEA,Labrune,Janine,Small,2005,2,1,February,Q1,2005-02,EMEA,733.11,1197.0,-463.89,-63.27699799484389,Low
10388,42,76.36,4,3207.12,2005-03-03,Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,N/A,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium,2005,3,1,March,Q1,2005-03,NA,3207.12,2394.0,813.1199999999999,25.353588266107906,Medium
10403,24,100.0,7,2434.56,2005-04-08,Shipped,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,N/A,Liverpool,N/A,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,2005,4,2,April,Q2,2005-04,EMEA,2434.56,1368.0,1066.56,43.80914826498422,Low
10417,66,100.0,2,7516.08,2005-05-13,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",N/A,Madrid,N/A,28034,Spain,EMEA,Freyre,Diego,Large,2005,5,2,May,Q2,2005-05,EMEA,7516.08,3762.0,3754.08,49.94731296101159,High
10103,26,100.0,11,5404.62,2003-01-29,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,N/A,Stavern,N/A,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2003,1,1,January,Q1,2003-01,EMEA,5404.62,3338.4,2066.22,38.230624909799396,Medium
10112,29,100.0,1,7209.11,2003-03-24,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,N/A,Lule,N/A,S-958 22,Sweden,EMEA,Berglund,Christina,Large,2003,3,1,March,Q1,2003-03,EMEA,7209.11,3723.6,3485.5099999999998,48.34868659238103,High
10126,38,100.0,11,7329.06,2003-05-28,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",N/A,Madrid,N/A,28023,Spain,EMEA,Sommer,Mart¡n,Large,2003,5,2,May,Q2,2003-05,EMEA,7329.06,4879.2,2449.8600000000006,33.42666044485924,High
10140,37,100.0,11,7374.1,2003-07-24,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,NA,Hirano,Juri,Large,2003,7,3,July,Q3,2003-07,NA,7374.1,4750.8,2623.3,35.57451078775715,High
10150,45,100.0,8,10993.5,2003-09-19,Shipped,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",N/A,Singapore,N/A,79903,Singapore,Japan,Natividad,Eric,Large,2003,9,3,September,Q3,2003-09,Japan,10993.5,5778.0,5215.5,47.44167007777323,High
10163,21,100.0,1,4860.24,2003-10-20,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium,2003,10,4,October,Q4,2003-10,NA,4860.24,2696.4,2163.8399999999997,44.521258209471135,Medium
10174,34,100.0,4,8014.82,2003-11-06,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,N/A,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,2003,11,4,November,Q4,2003-11,APAC,8014.82,4365.599999999999,3649.2200000000003,45.530904000339376,High
10183,23,100.0,8,5372.57,2003-11-13,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,N/A,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium,2003,11,4,November,Q4,2003-11,NA,5372.57,2953.2,2419.37,45.03189348859112,Medium
10194,42,100.0,11,7290.36,2003-11-25,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",N/A,Lyon,N/A,69004,France,EMEA,Saveley,Mary,Large,2003,11,4,November,Q4,2003-11,EMEA,7290.36,5392.8,1897.5599999999995,26.028344279294846,High
10206,47,100.0,6,9064.89,2003-12-05,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,N/A,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large,2003,12,4,December,Q4,2003-12,NA,9064.89,6034.8,3030.0899999999992,33.42666044485922,High
10215,35,100.0,3,6075.3,2004-01-29,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,N/A,Burbank,CA,94019,USA,NA,Thompson,Steve,Medium,2004,1,1,January,Q1,2004-01,NA,6075.3,4494.0,1581.3000000000002,26.028344279294853,High
10228,29,100.0,2,6463.23,2004-03-10,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,N/A,Cambridge,MA,51247,USA,NA,Tseng,Kyung,Medium,2004,3,1,March,Q1,2004-03,NA,6463.23,3723.6,2739.6299999999997,42.3879391573563,High
10245,34,100.0,9,6120.34,2004-05-04,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,N/A,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium,2004,5,2,May,Q2,2004-05,NA,6120.34,4365.599999999999,1754.7400000000007,28.67062940947726,High
10258,32,100.0,6,7680.64,2004-06-15,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,N/A,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,2004,6,2,June,Q2,2004-06,Japan,7680.64,4108.8,3571.84,46.504457961836515,High
10270,21,100.0,9,4905.39,2004-07-19,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,2004,7,3,July,Q3,2004-07,APAC,4905.39,2696.4,2208.9900000000002,45.03189348859112,Medium
10280,34,100.0,2,8014.82,2004-08-17,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,N/A,Torino,N/A,10100,Italy,EMEA,Accorti,Paolo,Large,2004,8,3,August,Q3,2004-08,EMEA,8014.82,4365.599999999999,3649.2200000000003,45.530904000339376,High
10291,37,100.0,11,7136.19,2004-09-08,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,N/A,Boras,N/A,S-844 67,Sweden,EMEA,Larsson,Maria,Large,2004,9,3,September,Q3,2004-09,EMEA,7136.19,4750.8,2385.3899999999994,33.42666044485922,High
10304,47,100.0,6,10172.7,2004-10-11,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",N/A,Versailles,N/A,78000,France,EMEA,Tonini,Daniel,Large,2004,10,4,October,Q4,2004-10,EMEA,10172.7,6034.8,4137.900000000001,40.67651655902563,High
10312,48,100.0,3,11623.7,2004-10-21,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,N/A,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large,2004,10,4,October,Q4,2004-10,NA,11623.7,6163.2,5460.500000000001,46.9772963858324,High
10322,40,100.0,1,6000.4,2004-11-04,Shipped,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,N/A,Nashua,NH,62005,USA,NA,Young,Valarie,Medium,2004,11,4,November,Q4,2004-11,NA,6000.4,5136.0,864.3999999999996,14.405706286247577,High
10333,26,100.0,3,3003.0,2004-11-18,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,N/A,San Francisco,CA,N/A,USA,NA,Murphy,Julie,Medium,2004,11,4,November,Q4,2004-11,NA,3003.0,3338.4,-335.4000000000001,-11.168831168831172,Medium
10347,30,100.0,1,3944.7,2004-11-29,Shipped,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2004,11,4,November,Q4,2004-11,APAC,3944.7,3852.0,92.69999999999982,2.3499885922883825,Medium
10357,32,100.0,10,5691.84,2004-12-10,Shipped,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,N/A,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,2004,12,4,December,Q4,2004-12,NA,5691.84,4108.8,1583.04,27.812447292966773,Medium
10369,41,100.0,2,4514.92,2005-01-20,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,N/A,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Medium,2005,1,1,January,Q1,2005-01,NA,4514.92,5264.4,-749.4799999999996,-16.60007264802033,Medium
10381,36,100.0,3,8254.8,2005-02-17,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,N/A,San Francisco,CA,N/A,USA,NA,Brown,Julie,Large,2005,2,1,February,Q1,2005-02,NA,8254.8,4622.4,3632.3999999999996,44.003488879197555,High
10391,24,100.0,4,2416.56,2005-03-09,Shipped,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2005,3,1,March,Q1,2005-03,APAC,2416.56,3081.6,-665.04,-27.52011123249578,Low
10411,23,100.0,9,4140.23,2005-05-01,Shipped,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,N/A,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium,2005,5,2,May,Q2,2005-05,NA,4140.23,2953.2,1187.0299999999997,28.67062940947725,Medium
10424,50,100.0,6,12001.0,2005-05-31,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",N/A,Madrid,N/A,28034,Spain,EMEA,Freyre,Diego,Large,2005,5,2,May,Q2,2005-05,EMEA,12001.0,6420.0,5581.0,46.504457961836515,High
10107,39,99.91,5,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,2003,2,1,February,Q1,2003-02,NA,3896.49,2761.2,1135.29,29.136222600340307,Medium
10120,29,96.34,3,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,2003,4,2,April,Q2,2003-04,APAC,2793.86,2053.2,740.6600000000003,26.51027610545984,Low
10134,27,100.0,5,3307.77,2003-07-01,Shipped,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,N/A,Paris,N/A,75508,France,EMEA,Da Cunha,Daniel,Medium,2003,7,3,July,Q3,2003-07,EMEA,3307.77,1911.6,1396.17,42.20879928169129,Medium
10145,37,100.0,9,5192.95,2003-08-25,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,N/A,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,2003,8,3,August,Q3,2003-08,NA,5192.95,2619.6,2573.35,49.55468471677948,Medium
10159,37,100.0,17,5016.83,2003-10-10,Shipped,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,N/A,San Francisco,CA,N/A,USA,NA,Brown,Julie,Medium,2003,10,4,October,Q4,2003-10,NA,5016.83,2619.6,2397.23,47.783759864296776,Medium
10168,27,100.0,4,3660.93,2003-10-28,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,2003,10,4,October,Q4,2003-10,NA,3660.93,1911.6,1749.33,47.783759864296776,Medium
10180,42,100.0,12,4695.6,2003-11-11,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",N/A,Lille,N/A,59000,France,EMEA,Rance,Martine,Medium,2003,11,4,November,Q4,2003-11,EMEA,4695.6,2973.6,1722.0000000000005,36.67262969588552,Medium
10188,38,96.34,4,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",N/A,Bergen,N/A,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,2003,11,4,November,Q4,2003-11,EMEA,3660.92,2690.4,970.52,26.51027610545983,Medium
10201,24,100.0,5,3025.92,2003-12-01,Shipped,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,N/A,San Francisco,CA,N/A,USA,NA,Murphy,Julie,Medium,2003,12,4,December,Q4,2003-12,NA,3025.92,1699.2,1326.72,43.84517766497462,Medium
10210,23,100.0,2,3009.09,2004-01-12,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",N/A,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,2004,1,1,January,Q1,2004-01,Japan,3009.09,1628.3999999999999,1380.6900000000003,45.88397156615456,Medium
10223,47,100.0,4,5422.39,2004-02-20,Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2004,2,1,February,Q1,2004-02,APAC,5422.39,3327.6,2094.7900000000004,38.63222674872151,Medium
10236,22,100.0,1,2852.08,2004-04-03,Shipped,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,N/A,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small,2004,4,2,April,Q2,2004-04,NA,2852.08,1557.6,1294.48,45.38722616476396,Low
10251,44,100.0,5,5756.52,2004-05-18,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,N/A,Newark,NJ,94019,USA,NA,Brown,William,Medium,2004,5,2,May,Q2,2004-05,NA,5756.52,3115.2,2641.3200000000006,45.88397156615456,Medium
10263,40,100.0,5,4472.0,2004-06-28,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,N/A,Bridgewater,CT,97562,USA,NA,King,Julie,Medium,2004,6,2,June,Q2,2004-06,NA,4472.0,2832.0,1640.0,36.67262969588551,Medium
10275,22,100.0,4,2904.44,2004-07-23,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",N/A,Nantes,N/A,44000,France,EMEA,Labrune,Janine,Small,2004,7,3,July,Q3,2004-07,EMEA,2904.44,1557.6,1346.8400000000001,46.37176185426451,Low
10285,47,100.0,9,6484.59,2004-08-27,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,N/A,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,2004,8,3,August,Q3,2004-08,NA,6484.59,3327.6,3156.9900000000002,48.68449662970211,High
10298,39,96.34,1,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",N/A,Nantes,N/A,44000,France,EMEA,Schmitt,Carine,Medium,2004,9,3,September,Q3,2004-09,EMEA,3757.26,2761.2,996.0600000000004,26.51027610545984,Medium
10308,34,100.0,2,4043.96,2004-10-15,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,N/A,White Plains,NY,24067,USA,NA,Frick,Steve,Medium,2004,10,4,October,Q4,2004-10,NA,4043.96,2407.2,1636.7600000000002,40.474188666554575,Medium
10318,45,100.0,4,5566.5,2004-11-02,Shipped,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,N/A,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,2004,11,4,November,Q4,2004-11,NA,5566.5,3186.0,2380.5,42.764753435731606,Medium
10329,20,100.0,2,3176.0,2004-11-15,Shipped,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,2004,11,4,November,Q4,2004-11,NA,3176.0,1416.0,1760.0,55.41561712846348,Medium
10339,40,68.92,4,2756.8,2004-11-23,Shipped,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,N/A,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,2004,11,4,November,Q4,2004-11,Japan,2756.8,2832.0,-75.19999999999982,-2.7278003482298248,Low
10361,26,51.15,8,1329.9,2004-12-17,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2004,12,4,December,Q4,2004-12,APAC,1329.9,1840.8,-510.89999999999986,-38.41642228739002,Low
10374,39,100.0,5,5288.01,2005-02-02,Shipped,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,N/A,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,2005,2,1,February,Q1,2005-02,APAC,5288.01,2761.2,2526.8100000000004,47.78375986429678,Medium
10388,50,44.51,5,2225.5,2005-03-03,Shipped,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,N/A,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small,2005,3,1,March,Q1,2005-03,NA,2225.5,3540.0,-1314.5,-59.06537856661424,Low
10402,45,100.0,1,5833.8,2005-04-07,Shipped,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",N/A,Paris,N/A,75016,France,EMEA,Perrier,Dominique,Medium,2005,4,2,April,Q2,2005-04,EMEA,5833.8,3186.0,2647.8,45.38722616476396,Medium
